objectid,filename,title,identifier,object_location,collection_number_and_name_t,creator,date,description,findingaid,format,source,rightsstatement,location,latitude,longitude,subject,type,image_alt_text,object_location,display_template,thumbnail URL
2392695,Joseph_Smith_the_Mormon_prophet (1).jpg,"Joseph Smith, the Mormon prophet",ark:/87278/s6ch1zkd,https://collections.lib.utah.edu/ark:/87278/s6ch1zkd,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of Joseph Smith, founder of the Church of Jesus Christ of Latter-day Saints.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_01_001,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,"Smith, Joseph, Jr., 1805-1844--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of Joseph Smith, founder of the Church of Jesus Christ of Latter-day Saints.",,,https://collections.lib.utah.edu/dl_thumbs/da/89/da891698d5b3f9cd1edabff3ce94ee1cc56dd74b.jpg
2392696,Brigham_Young_the_great_leader_of_the_Nauvoo_exodus_and_colonizer_of_the_American_Desert.jpg,"Brigham Young, the great leader of the Nauvoo exodus, and colonizer of the American Desert",ark:/87278/s61tzx53,https://collections.lib.utah.edu/ark:/87278/s61tzx53,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of Brigham Young, leader of the Church of Jesus Christ of Latter-day Saints who led the settlement of Utah.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_01_002,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,"Young, Brigham, 1801-1877--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of Brigham Young, leader of the Church of Jesus Christ of Latter-day Saints who led the settlement of Utah.",,,https://collections.lib.utah.edu/dl_thumbs/da/89/da891698d5b3f9cd1edabff3ce94ee1cc56dd74b.jpg
2392697,Pres_Joseph_F_Smith_2nd_Coun_Anthon_H_Lund_1st_Coun_John_R_Winder.jpg,"Pres. Joseph F. Smith, 2nd Coun. Anthon H. Lund, 1st Coun. John R. Winder",ark:/87278/s6m9mjtr,https://collections.lib.utah.edu/ark:/87278/s6m9mjtr,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of (left to right) Joseph F. Smith, President of the Church of Jesus Christ of Latter-day Saints, and his two counsellors, Anthon H. Lund and John R. Winder.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_01_003,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,"Smith, Joseph F. (Joseph Fielding), 1838-1918--Photographs; Lund, Anthon H., 1844-1921--Photographs; Winder, John R. (John Rex), 1821-1910--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of (left to right) Joseph F. Smith, President of the Church of Jesus Christ of Latter-day Saints, and his two counsellors, Anthon H. Lund and John R. Winder.",,,https://collections.lib.utah.edu/dl_thumbs/9e/0c/9e0c82047b9a52dd467557d4316161d8c6152936.jpg
2392698,Old_Smith_homestead_scene_of_Joseph_Smith_s_first_visions_and_revelations_near_Palmyra_New_York.jpg,"Old Smith homestead, scene of Joseph Smith's first visions and revelations, near Palmyra, New York",ark:/87278/s6czgrrj,https://collections.lib.utah.edu/ark:/87278/s6czgrrj,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the Joseph Smith homestead in Palmyra, New York.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_01_004,http://rightsstatements.org/vocab/NoC-US/1.0/,Palmyra (N.Y.); Wayne County (N.Y.); New York (State),43.0639521,-77.2333154,"Smith, Joseph, Jr., 1805-1844--Homes and haunts--Photographs; Palmyra (N.Y.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the Joseph Smith homestead in Palmyra, New York.",,,https://collections.lib.utah.edu/dl_thumbs/52/7d/527d127c9a385a5645dbfade627e95fb36f19974.jpg
2392699,Cumorah_Hill_where_the_Prophet_received_the_golden_plates_or_records_of_Book_of_Mormon_near_Palmyra_N_Y_.jpg,"Cumorah Hill, where the Prophet received the golden plates or records of Book of Mormon, near Palmyra, N.Y.",ark:/87278/s6gd2nmd,https://collections.lib.utah.edu/ark:/87278/s6gd2nmd,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of Hill Cumorah near Palmyra, New York.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_01_005,http://rightsstatements.org/vocab/NoC-US/1.0/,Palmyra (N.Y.); Wayne County (N.Y.); New York (State),43.0639521,-77.2333154,"Smith, Joseph, Jr., 1805-1844--Homes and haunts--Photographs; Palmyra (N.Y.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of Hill Cumorah near Palmyra, New York.",,,https://collections.lib.utah.edu/dl_thumbs/07/08/0708039ed00fdb977e51f42db7b9bab2cf148958.jpg
2392700,Ruins_of_Jail_where_Joseph_Smith_Hyrum_Smith_and_other_Mormon_leaders_were_imprisoned_Liberty_Mo_.jpg,"Ruins of Jail where Joseph Smith, Hyrum Smith, and other Mormon leaders were imprisoned, Liberty, Mo.",ark:/87278/s6hcrgj6,https://collections.lib.utah.edu/ark:/87278/s6hcrgj6,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the ruins of the jail in Liberty, Missouri, where Joseph Smith and other Latter-day Saints were imprisoned in 1838.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_02_001,http://rightsstatements.org/vocab/NoC-US/1.0/,Liberty (Mo.); Clay County (Mo.); Missouri,39.2461138,-94.4191177,Liberty (Mo.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the ruins of the jail in Liberty, Missouri, where Joseph Smith and other Latter-day Saints were imprisoned in 1838.",,,https://collections.lib.utah.edu/dl_thumbs/21/93/2193152fb18661a2c67d69405bcf2653a141c527.jpg
2392701,Apostle_Lyman_Wight_s_house_at_Adam_on_di_Ahman_near_Gallatin_Daviess_Co_Mo_.jpg,"Apostle Lyman Wight's house at Adam-on-di-Ahman near Gallatin, Daviess Co., Mo.",ark:/87278/s60c21ch,https://collections.lib.utah.edu/ark:/87278/s60c21ch,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the home of Lyman Wight, early Apostle of the Church of Jesus Christ of Latter-day Saints, near Gallatin, Missouri.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_02_002,http://rightsstatements.org/vocab/NoC-US/1.0/,Gallatin (Mo.); Daviess County (Mo.); Missouri,39.9144513,-93.9621669,"Wight, Lyman--Homes and haunts--Photographs; Gallatin (Mo.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the home of Lyman Wight, early Apostle of the Church of Jesus Christ of Latter-day Saints, near Gallatin, Missouri.",,,https://collections.lib.utah.edu/dl_thumbs/db/e2/dbe2b7610a46fa20e6d7ef20a6a03ca7eb54b86a.jpg
2392702,Mormon_temple_at_Kirtland_Ohio.jpg,"Mormon temple at Kirtland, Ohio",ark:/87278/s61nyjkm,https://collections.lib.utah.edu/ark:/87278/s61nyjkm,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the Latter-day Saints temple in Kirtland, Ohio.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_02_003,http://rightsstatements.org/vocab/NoC-US/1.0/,Kirtland (Ohio); Lake County (Ohio),41.6289365,-81.3614985,Latter Day Saint temples--Ohio--Kirtland--Photographs; Kirtland (Ohio)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the Latter-day Saints temple in Kirtland, Ohio.",,,https://collections.lib.utah.edu/dl_thumbs/92/3c/923c5a321e660daa17b0818276989ac6ab0e7ffa.jpg
2392703,North_over_Temple_lot_site_marked_by_Mormon_prophecy_for_world_s_greatest_temple_Independence_Mo_.jpg,"North over Temple lot, site marked by Mormon prophecy for world's greatest temple, Independence, Mo.",ark:/87278/s6vv4yqx,https://collections.lib.utah.edu/ark:/87278/s6vv4yqx,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the property in Independence, Missouri, where a temple of the Church of Jesus Christ of Latter-day Saints is expected to be built in the future.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_02_004,http://rightsstatements.org/vocab/NoC-US/1.0/,Independence (Mo.); Jackson County (Mo.); Missouri,39.0911161,-94.4155068,Independence (Mo.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the property in Independence, Missouri, where a temple of the Church of Jesus Christ of Latter-day Saints is expected to be built in the future.",,,https://collections.lib.utah.edu/dl_thumbs/6b/81/6b81e548f3f7f5ad61d4f23103b025794c71a668.jpg
2392704,Home_of_President_Wilford_Woodruff_Nauvoo_Illinois.jpg,"Home of President Wilford Woodruff, Nauvoo, Illinois",ark:/87278/s6j9p89z,https://collections.lib.utah.edu/ark:/87278/s6j9p89z,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the house of Wilford Woodruff, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_001,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Woodruff, Wilford, 1807-1898--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the house of Wilford Woodruff, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/2b/44/2b4469866d0d1da9525c881b57a9ca118938f325.jpg
2392705,Home_of_President_Lorenzo_Snow_Nauvoo_Illinois.jpg,"Home of President Lorenzo Snow, Nauvoo, Illinois",ark:/87278/s6va6g6c,https://collections.lib.utah.edu/ark:/87278/s6va6g6c,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the house of Lorenzo Snow, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_002,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Snow, Lorenzo, 1814-1901--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the house of Lorenzo Snow, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/35/17/3517dac90785fa919d145ee74b70bb45ebc9a2a8.jpg
2392706,Looking_east_along_Mulholland_Street_from_north_side_of_Temple_Block_Nauvoo_Illinois.jpg,"Looking east along Mulholland Street, from north side of Temple Block, Nauvoo, Illinois",ark:/87278/s6cvspd0,https://collections.lib.utah.edu/ark:/87278/s6cvspd0,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of a view looking east along Mulholland Street in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_003,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of a view looking east along Mulholland Street in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/12/66/126602694ab904e414c9f344e1204d227a223c17.jpg
2392707,Temple_of_Nauvoo_Illinois.jpg,"Temple of Nauvoo, Illinois",ark:/87278/s6j1ghtb,https://collections.lib.utah.edu/ark:/87278/s6j1ghtb,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the Latter-day Saints temple in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_004,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the Latter-day Saints temple in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/6b/89/6b89539146d5a1921c0e1a4c4b6122e2f1bb6040.jpg
2392708,Home_of_President_Brigham_Young_Nauvoo_Illinois_facing_south_.jpg,"Home of President Brigham Young, Nauvoo, Illinois (facing south)",ark:/87278/s606v7am,https://collections.lib.utah.edu/ark:/87278/s606v7am,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the house of Brigham Young, second President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_005,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Young, Brigham, 1801-1877--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the house of Brigham Young, second President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/31/c2/31c22001d04fcb7b1d8de37cbfb2ff55df06505a.jpg
2392709,Home_of_President_John_Taylor_Nauvoo_Illinois_facing_east_.jpg,"Home of President John Taylor, Nauvoo, Illinois (facing east)",ark:/87278/s61ct2fx,https://collections.lib.utah.edu/ark:/87278/s61ct2fx,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the house of John Taylor, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_006,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Taylor, John, 1808-1887--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the house of John Taylor, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/45/5b/455b556d5ab7b8ddfb69f59a92da235d514c97a9.jpg
2392710,Nauvoo_mansion_home_of_Joseph_Smith_from_which_murdered_brothers_were_buried_Nauvoo_Ill_.jpg,"Nauvoo mansion, home of Joseph Smith, from which murdered brothers were buried, Nauvoo, Ill.",ark:/87278/s66xs7tj,https://collections.lib.utah.edu/ark:/87278/s66xs7tj,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the mansion of Joseph Smith, President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_007,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Smith, Joseph, Jr., 1805-1844--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the mansion of Joseph Smith, President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/57/f3/57f35d1c0eef97183e275ef80a977951805dc7d7.jpg
2392711,Old_Smith_homestead_Emma_Smith_s_grave_and_lot_where_murdered_brothers_were_buried_Nauvoo_Ill_.jpg,"Old Smith homestead, Emma Smith's grave, and lot where murdered brothers were buried, Nauvoo, Ill.",ark:/87278/s6cqqd7h,https://collections.lib.utah.edu/ark:/87278/s6cqqd7h,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the Smith homestead in Nauvoo, Illinois, with the grave of Emma Smith in foreground.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_008,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Smith, Joseph, Jr., 1805-1844--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the Smith homestead in Nauvoo, Illinois, with the grave of Emma Smith in foreground.",,,https://collections.lib.utah.edu/dl_thumbs/0a/b5/0ab5e33cc8153e57f3d330bd9686c21d280f204d.jpg
2392712,Jailor_s_parlor_where_mob_slew_Joseph_and_Hyrum_Smith_bullet_hole_in_door_old_jail_Carthage_Ill_.jpg,"Jailor's parlor, where mob slew Joseph and Hyrum Smith--bullet hole in door--old jail, Carthage, Ill.",ark:/87278/s6xabxbx,https://collections.lib.utah.edu/ark:/87278/s6xabxbx,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the parlor of the jail in Carthage, Illinois, site of a mob's fatal attack of Joseph and Hyrum Smith in June 1844.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_04_001,http://rightsstatements.org/vocab/NoC-US/1.0/,Cathage (Ill.); Hancock County (Ill.); Illinois,40.416433,-91.1362537,Carthage (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the parlor of the jail in Carthage, Illinois, site of a mob's fatal attack of Joseph and Hyrum Smith in June 1844.",,,https://collections.lib.utah.edu/dl_thumbs/30/a1/30a1d59e86703a772ae9a60eceba05e688b09299.jpg
2392713,East_side_of_jail_showing_window_where_Joseph_Smith_was_shot_and_from_which_he_fell_Carthage_Ill_.jpg,"East side of jail showing window where Joseph Smith was shot and from which he fell, Carthage, Ill.",ark:/87278/s6rajf2c,https://collections.lib.utah.edu/ark:/87278/s6rajf2c,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the east side of the jail in Carthage, Illinois, including the window where Joseph Smith was shot in June 1844.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_04_002,http://rightsstatements.org/vocab/NoC-US/1.0/,Cathage (Ill.); Hancock (Ill.),40.416433,-91.1362537,Carthage (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the east side of the jail in Carthage, Illinois, including the window where Joseph Smith was shot in June 1844.",,,https://collections.lib.utah.edu/dl_thumbs/04/40/0440e12c002dc267f625353153fc3679780e1d91.jpg
2392714,Old_jail_where_the_Prophet_Joseph_Smith_and_his_brother_Hyrum_were_murdered_south_front_Carthage_Ill_.jpg,"Old jail where the Prophet Joseph Smith and his brother Hyrum were murdered (south front), Carthage, Ill.",ark:/87278/s6xt4fk8,https://collections.lib.utah.edu/ark:/87278/s6xt4fk8,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the jail in Carthage, Illinois, where a mob murdered Joseph and Hyrum Smith in June 1844.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_04_003,http://rightsstatements.org/vocab/NoC-US/1.0/,Cathage (Ill.); Hancock (Ill.),40.416433,-91.1362537,Carthage (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the jail in Carthage, Illinois, where a mob murdered Joseph and Hyrum Smith in June 1844.",,,https://collections.lib.utah.edu/dl_thumbs/bd/f2/bdf20070cc7a3a92f4149801abe8368c107a63a0.jpg
2392715,Hall_door_to_debtor_s_prison_stairway_ascended_by_mob_and_door_to_main_prison_jail_Carthage_Ill_.jpg,"Hall, door to debtor's prison, stairway ascended by mob, and door to main prison, jail, Carthage, Ill.",ark:/87278/s6s0m2ha,https://collections.lib.utah.edu/ark:/87278/s6s0m2ha,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the interior of the jail in Carthage, Illinois, including the stairway that a mob ascended before murdering Joseph and Hyrum Smith in June 1844.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_04_004,http://rightsstatements.org/vocab/NoC-US/1.0/,Cathage (Ill.); Hancock (Ill.),40.416433,-91.1362537,Carthage (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the interior of the jail in Carthage, Illinois, including the stairway that a mob ascended before murdering Joseph and Hyrum Smith in June 1844.",,,https://collections.lib.utah.edu/dl_thumbs/52/43/5243434d400ff00c4f8ca4469ee1f91c77ae9011.jpg
2392716,Court_house_scene_of_trial_of_the_murderers_of_Joseph_and_Hyrum_Smith_Carthage_Ill_.jpg,"Court house, scene of trial of the murderers of Joseph and Hyrum Smith, Carthage, Ill.",ark:/87278/s6tqdnr4,https://collections.lib.utah.edu/ark:/87278/s6tqdnr4,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the court house in Carthage, Illinois, scene of the trial of the murderers of Joseph and Hyrum Smith,",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_04_005,http://rightsstatements.org/vocab/NoC-US/1.0/,Cathage (Ill.); Hancock (Ill.),40.416433,-91.1362537,Carthage (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the court house in Carthage, Illinois, scene of the trial of the murderers of Joseph and Hyrum Smith,",,,https://collections.lib.utah.edu/dl_thumbs/f2/99/f299a1ac5fc4430d0dc9d78090a01c376d8dac18.jpg
