objectid,filename,title,identifier,object_location,collection_number_and_name_t,creator,date,description,findingaid,format,source,rightsstatement,location,latitude,longitude,subject,type,image_alt_text,object_location,display_template,thumbnail URL
2392717,Great_temple_and_the_Tabernacle_Salt_Lake_City_Utah.pdf,"Great temple and the Tabernacle, Salt Lake City, Utah",ark:/87278/s613zk04,https://collections.lib.utah.edu/ark:/87278/s613zk04,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of Temple Square in Salt Lake City, with the Temple and Tabernacle.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_05_001,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,"Temple Square (Salt Lake City, Utah)--Photographs; Latter Day Saint temples--Utah--Salt Lake City--Photographs; Tabernacle (Salt Lake City, Utah)--Photographs); Salt Lake City ( Utah)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of Temple Square in Salt Lake City, with the Temple and Tabernacle.",,,https://collections.lib.utah.edu/dl_thumbs/cf/a2/cfa21d65cfe92c71f3daa8d6b09f6723be12baea.jpg
2392718,Pioneer_monument_in_honor_of_Brigham_Young_and_the_pioneers_of_July_24_1847_Salt_Lake_City_Utah.jpg,"Pioneer monument in honor of Brigham Young and the pioneers of July 24, 1847, Salt Lake City, Utah",ark:/87278/s6kynft3,https://collections.lib.utah.edu/ark:/87278/s6kynft3,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the pioneer monument and Brigham Young statue at the intersection of South Temple and Main streets in downdown Salt Lake City, Utah.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_05_002,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,"Young, Brigham, 1801-1877--Monuments--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs; Salt Lake City (Utah)--Photographs",Image/StillImage,"Black and white stereograph of the pioneer monument and Brigham Young statue at the intersection of South Temple and Main streets in downdown Salt Lake City, Utah.",,,https://collections.lib.utah.edu/dl_thumbs/c8/b2/c8b27e897bdd283bed5d4322cbb560d68858c3c7.jpg
2392719,Pride_of_the_Mormons_temple_and_Tabernacle_Salt_Lake_City_Utah.pdf,"Pride of the Mormons, temple and Tabernacle, Salt Lake City, Utah",ark:/87278/s6tceg4k,https://collections.lib.utah.edu/ark:/87278/s6tceg4k,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of Temple Square in Salt Lake City, with the Temple and Tabernacle.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_05_003,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,"Temple Square (Salt Lake City, Utah)--Photographs; Latter Day Saint temples--Utah--Salt Lake City--Photographs; Tabernacle (Salt Lake City, Utah)--Photographs; Salt Lake City (Utah)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of Temple Square in Salt Lake City, with the Temple and Tabernacle.",,,https://collections.lib.utah.edu/dl_thumbs/a7/bd/a7bd8e4852729cd50afda3b1cc5efd15a7fecfe5.jpg
2392720,Court_House_City_and_County_Building_Salt_Lake_City_Utah.jpg,"Court House, City and County Building, Salt Lake City, Utah",ark:/87278/s6vnpe3h,https://collections.lib.utah.edu/ark:/87278/s6vnpe3h,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the City and County Building, government center in Salt Lake City, Utah.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_05_004,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,Public buildings--Utah--Salt Lake City--Photographs; City halls--Utah--Salt Lake City--Photographs; Salt Lake City (Utah)--Photographs,Image/StillImage,"Black and white stereograph of the City and County Building, government center in Salt Lake City, Utah.",,,https://collections.lib.utah.edu/dl_thumbs/b4/d5/b4d5bdb087b5803703a2fa979243d297014e214c.jpg
2392721,Looking_south_along_Main_Street_Salt_Lake_City_Utah.jpg,"Looking south along Main Street, Salt Lake City, Utah",ark:/87278/s65a3zj0,https://collections.lib.utah.edu/ark:/87278/s65a3zj0,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of a view looking south along Main Street, Salt Lake City, Utah.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_05_005,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,"Main Street (Salt Lake City, Utah)--Photographs; Salt Lake City (Utah)--History--Photographs",Image/StillImage,"Black and white stereograph of a view looking south along Main Street, Salt Lake City, Utah.",,,https://collections.lib.utah.edu/dl_thumbs/bd/6a/bd6ae616702f893fb09aad2725e43fb01c71dd12.jpg
2392722,Organ_and_interior_of_Tabernacle_Salt_Lake_City.jpg,"Organ and interior of Tabernacle, Salt Lake City",ark:/87278/s6dqmhvc,https://collections.lib.utah.edu/ark:/87278/s6dqmhvc,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880,"Black and white stereograph of the organ and the interior of the Tabernacle on Temple Square in Salt Lake City, Utah.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_05_006,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,"Tabernacle (Salt Lake City, Utah)--Photographs; Salt Lake City (Utah)--Photographs",Image/StillImage,"Black and white stereograph of the organ and the interior of the Tabernacle on Temple Square in Salt Lake City, Utah.",,,https://collections.lib.utah.edu/dl_thumbs/80/a0/80a0202617d651be28989726d7976c5d31760681.jpg
2392723,Wasatch_Hotel_Salt_Lake_City_Utah.pdf,"Wasatch Hotel, Salt Lake City, Utah",ark:/87278/s6tgzaa2,https://collections.lib.utah.edu/ark:/87278/s6tgzaa2,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880,"Black and white photograph of a drawing of the Wasatch Hotel in Salt Lake City, Utah.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_05_007,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,Hotels--Utah--Salt Lake City--Photographs; ; Salt Lake City (Utah)--Photographs,Image/StillImage,"Black and white photograph of a drawing of the Wasatch Hotel in Salt Lake City, Utah.",,,https://collections.lib.utah.edu/dl_thumbs/f0/ae/f0aebda8539d89adc6ab3d0b280a301a2ddef712.jpg
2392724,Interior_of_Tabernacle_and_the_great_organ_Salt_Lake_City_Utah.jpg,"Interior of Tabernacle and the great organ, Salt Lake City, Utah",ark:/87278/s6snx4a7,https://collections.lib.utah.edu/ark:/87278/s6snx4a7,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the organ and the interior of the Tabernacle on Temple Square in Salt Lake City, Utah.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_06_001,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,"Tabernacle (Salt Lake City, Utah)--Photographs; Salt Lake City (Utah)--Photographs",Image/StillImage,"Black and white stereograph of the organ and the interior of the Tabernacle on Temple Square in Salt Lake City, Utah.",,,https://collections.lib.utah.edu/dl_thumbs/35/24/35246ffcec665d6de84bbcf0ee46f7c41e718a93.jpg
2392725,Interior_of_the_Tabernacle_Salt_Lake_City_Utah.pdf,"Interior of the Tabernacle, Salt Lake City, Utah",ark:/87278/s6cbs0aq,https://collections.lib.utah.edu/ark:/87278/s6cbs0aq,P0716 Utah history stereographs photograph collection,"Carter, C. W.",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. W. Carter showing the organ and the interior of the Tabernacle on Temple Square in Salt Lake City, Utah.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_06_002,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,"Tabernacle (Salt Lake City, Utah)--Photographs; Salt Lake City (Utah)--Photographs",Image/StillImage,"Black and white stereograph by C. W. Carter showing the organ and the interior of the Tabernacle on Temple Square in Salt Lake City, Utah.",,,https://collections.lib.utah.edu/dl_thumbs/f2/c8/f2c8837ea015cb8d74d84cacef45b1a4dd1f2122.jpg
2392726,Black_Rock_in_the_Great_Salt_Lake.pdf,"Black Rock, in the Great Salt Lake",ark:/87278/s6dh8p89,https://collections.lib.utah.edu/ark:/87278/s6dh8p89,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing Black Rock, an outcrop at the south end of the Great Salt Lake.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_001,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,Black Rock (Utah : Rock)--Photographs; Great Salt Lake (Utah)--Photographs,Image/StillImage,"Black and white stereograph by C. R. Savage showing Black Rock, an outcrop at the south end of the Great Salt Lake.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/83/83/8383c06902f987e6cb805851e0e4ea45372aa7b4.jpg
2392727,Court_House_of_Montana_in_Helena.pdf,"Court House of Montana, in Helena",ark:/87278/s68y1nst,https://collections.lib.utah.edu/ark:/87278/s68y1nst,P0716 Utah history stereographs photograph collection,,1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph of an unidentified scene, along with four copies of a color photograph of the court house at Helena, Montana.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_002,http://rightsstatements.org/vocab/NoC-US/1.0/,Helena (Mont.); Lewis and Clark County (Mont.); Montana,46.5891452,-112.0391057,Courthouses--Montana--Helena--Photographs,Image/StillImage,"Black and white stereograph of an unidentified scene, along with four copies of a color photograph of the court house at Helena, Montana.",,,https://collections.lib.utah.edu/dl_thumbs/30/b0/30b0b0768b18bf79d79549ecd8f1daab0285741c.jpg
2392728,View_from_the_Emerald_Isle_Emerald_Bay_looking_across_the_bay_to_Emerald_Falls.pdf,"View from the Emerald Isle, Emerald Bay, looking across the bay to Emerald Falls",ark:/87278/s60kat2b,https://collections.lib.utah.edu/ark:/87278/s60kat2b,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing Emerald Bay at Lake Tahoe, California.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_003,http://rightsstatements.org/vocab/NoC-US/1.0/,"Emerald Bay State Park (Calif.); El Dorado County (Calif.); California; Tahoe, Lake (Calif. and Nev.)",38.9499894,-120.1082038,"Emerald Bay State Park (Calif.)--Photographs; Tahoe, Lake (Calif. and Nev.)--Photographs",Image/StillImage,"Black and white stereograph by C. R. Savage showing Emerald Bay at Lake Tahoe, California.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/12/42/1242f46123296c85da89eefc061a9104a0b7c144.jpg
2392729,liff_House_Seal_Rocks_Pacific_Ocean.pdf,"Cliff House, Seal Rocks & Pacific Ocean",ark:/87278/s6q80zzv,https://collections.lib.utah.edu/ark:/87278/s6q80zzv,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing the Cliff House restaurant and the Seal Rocks on the Pacific coast at San Francisco, California.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_004,http://rightsstatements.org/vocab/NoC-US/1.0/,San Francisco (Calif.); California,37.7749295,-122.4194155,San Francisco (Calif.)--Photographs; Restaurants--California--San Francisco--Photographs,Image/StillImage,"Black and white stereograph by C. R. Savage showing the Cliff House restaurant and the Seal Rocks on the Pacific coast at San Francisco, California.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/bc/13/bc13b3ec51f9b988dd5c43d7658767c9e1387d98.jpg
2392730,American_River_from_Cape_Horn_California.pdf,"American River, from Cape Horn, California",ark:/87278/s6vh6h22,https://collections.lib.utah.edu/ark:/87278/s6vh6h22,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing a view of the canyon of the American River's North Fork, seen from the railroad at Cape Horn, California.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_005,http://rightsstatements.org/vocab/NoC-US/1.0/,American River (Calif.); Placer County (Calif.); California,39.0915751,-120.8039474,American River (Calif.)--Photographs,Image/StillImage,"Black and white stereograph by C. R. Savage showing a view of the canyon of the American River's North Fork, seen from the railroad at Cape Horn, California.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/ed/ec/edec74c6a02dd708234be310a630eeef50863153.jpg
2392731,Cascade_Lake_and_Mount_Tallac_west_side_of_Lake_Tahoe_Cal_.pdf,"Cascade Lake and Mount Tallac, west side of Lake Tahoe, Cal.",ark:/87278/s6f2jy3v,https://collections.lib.utah.edu/ark:/87278/s6f2jy3v,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing Cascade Lake and Mount Tallac, in El Dorado County, California, near the south end of Lake Tahoe.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_006,http://rightsstatements.org/vocab/NoC-US/1.0/,"El Dorado County (Calif.); California; Tahoe, Lake (Calif. and Nev.)",39.0968493,-120.0323507,Tahoe,Image/StillImage,"Black and white stereograph by C. R. Savage showing Cascade Lake and Mount Tallac, in El Dorado County, California, near the south end of Lake Tahoe.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/e2/5e/e25ec164cac967a5fff3aaff4b4b0fadecb6e33b.jpg
2392732,Southern_part_of_Virginia_City_from_the_Combination_shaft_Mount_Davidson_in_the_distance.pdf,"Southern part of Virginia City, from the Combination shaft, Mount Davidson in the distance",ark:/87278/s65ckbtb,https://collections.lib.utah.edu/ark:/87278/s65ckbtb,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing a view of part of Virginia City, Nevada, with Mount Davidson in the distance.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_007,http://rightsstatements.org/vocab/NoC-US/1.0/,Virginia City (Nev.); Storey County (Nev.); Nevada,39.3095135,-119.6499793,Virginia City (Nev.)--History--Photographs,Image/StillImage,"Black and white stereograph by C. R. Savage showing a view of part of Virginia City, Nevada, with Mount Davidson in the distance.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/60/53/6053de522f5215230bda7c2652df99ed395a83ee.jpg
2392733,Gateway_at_the_Garden_of_the_Gods_Pikes_Peak_in_the_distance_Colorado.pdf,"Gateway at the Garden of the Gods, Pikes Peak in the distance, Colorado",ark:/87278/s6t27vet,https://collections.lib.utah.edu/ark:/87278/s6t27vet,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing a scene at the Garden of the Gods in Colorado Springs, Colorado. Pikes Peak is seen in the distance.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_008,http://rightsstatements.org/vocab/NoC-US/1.0/,Colorado Springs (Colo.); El Paso County (Colo.); Colorado,38.8353142,-104.8216009,"Garden of the Gods (Colorado Springs, Colo.)--Photographs",Image/StillImage,"Black and white stereograph by C. R. Savage showing a scene at the Garden of the Gods in Colorado Springs, Colorado. Pikes Peak is seen in the distance.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/a7/87/a78745561ee829359eb98c56409643a8255da390.jpg
2392734,Devil_s_Gate_Bridge.pdf,Devil's Gate Bridge,ark:/87278/s6qqa92h,https://collections.lib.utah.edu/ark:/87278/s6qqa92h,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing the railroad bridge over the Sweetwater River at Devils Gate in Natrona County, Wyoming.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_009,http://rightsstatements.org/vocab/NoC-US/1.0/,Devil's Gate (Wyo.); Sweetwater River (Wyo.); Natrona County (Wyo.); Wyoming,42.506904,-107.0600536,Devil's Gate (Wyo.)--Photographs; Railroads--Wyoming--Photographs,Image/StillImage,"Black and white stereograph by C. R. Savage showing the railroad bridge over the Sweetwater River at Devils Gate in Natrona County, Wyoming.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/54/81/548121fda51311ff701cdd555f9faa13c943501e.jpg
2392735,East_side_East_Temple_Street.pdf,East side East Temple Street,ark:/87278/s60qjm1s,https://collections.lib.utah.edu/ark:/87278/s60qjm1s,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing the East side of East Temple (now Main) Street in downtown Salt Lake City, Utah, in the late 19th century.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_010,http://rightsstatements.org/vocab/NoC-US/1.0/,Salt Lake City (Utah); Salt Lake County (Utah),40.7605601,-111.8881397,"Main Street (Salt Lake City, Utah)--Photographs; Salt Lake City (Utah)--History--Photographs",Image/StillImage,"Black and white stereograph by C. R. Savage showing the East side of East Temple (now Main) Street in downtown Salt Lake City, Utah, in the late 19th century.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/1b/6c/1b6c1938f8d86433c4be98bbcc2e33144464e6da.jpg
2392736,Upper_Twin_Lake_head_waters_Big_Cottonwood_Canyon.pdf,"Upper Twin Lake, head-waters, Big Cottonwood Canyon",ark:/87278/s6vrraad,https://collections.lib.utah.edu/ark:/87278/s6vrraad,P0716 Utah history stereographs photograph collection,"Savage, C. R. (Charles Roscoe), 1832-1909",1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879; 1880; 1881; 1882; 1883; 1884; 1885; 1886; 1887; 1888; 1889; 1890,"Black and white stereograph by C. R. Savage showing Upper Twin Lake, headwaters of Big Cottonwood Creek in the Wasatch Mountains, Salt Lake County, Utah.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",https://archiveswest.orbiscascade.org/ark:80444/xv172074,application/pdf,P0716n01_07_011,http://rightsstatements.org/vocab/NoC-US/1.0/,"Big Cottonwood Canyon (Salt Lake County, Utah); Salt Lake County (Utah)",40.637269,-111.6330126,"Lakes--Utah--Salt Lake County--Photographs; Big Cottonwood Canyon (Salt Lake County, Utah)--Photographs",Image/StillImage,"Black and white stereograph by C. R. Savage showing Upper Twin Lake, headwaters of Big Cottonwood Creek in the Wasatch Mountains, Salt Lake County, Utah.  Part of the series, ""Views of the Great West, from the Missouri River to the Pacific Ocean.""",,,https://collections.lib.utah.edu/dl_thumbs/21/01/21011609dc57e70637a5973b2db380fc5fa29f3c.jpg
